"","study","taxon","phylum","common_name","number_of_populations","ecosystem","dispersal_mode","acclimation_time","source_population","latitude","longitude","life_history_stage","sex","acclimation_temperature_1","acclimation_temperature_2","measurement_level","thermal_limit_type","thermal_limit_1","thermal_limit_2","thermal_limit_error_type","thermal_limit_error_1","thermal_limit_error_2","n_1","n_2","max_temp","min_temp","mean_temp","temp_range","upper_lower","ARR"
"19","Armstrong_et_al_2015","Arabidopsis_kamchatica","Tracheophyta","rockcress",3,"terrestrial","uncertain","1","Portage_Glacier",60.82,-148.97,"uncertain","uncertain",4,20,"population","LD50_low",-21.6,-10.5,"CI",0.7,0.3,1,1,17.625,-8.25,4.1,25.875,"lower",0.69375
"20","Armstrong_et_al_2015","Arabidopsis_kamchatica","Tracheophyta","rockcress",3,"terrestrial","uncertain","1","Ptarmigan_Creek",65.05,-147.6,"uncertain","uncertain",4,20,"population","LD50_low",-17.2,-9.8,"CI",0.4,0.1,1,1,20.45,-24.4125,-2.725,44.8625,"lower",0.4625
"21","Barria_et_al_2017","Pleurodema_thaul","Chordata","frog",2,"terrestrial","uncertain","<1","Carrera_Pinto",-27.1,-69.883,"adult","uncertain",10,20,"individual","CTmax",38.664,39.618,"CI",0.190545,0.300182,22,22,24.7,4,15.3,20.7,"upper",0.0954000000000001
"22","Barria_et_al_2017","Pleurodema_thaul","Chordata","frog",2,"terrestrial","uncertain","<1","El_Caulle",-40.65,-72.167,"adult","uncertain",10,20,"individual","CTmax",35.745,37.636,"CI",0.700455,0.491273,10,10,21.4,1.975,10.3,19.425,"upper",0.189100000000001
"23","Barria_et_al_2017","Pleurodema_thaul","Chordata","frog",2,"terrestrial","uncertain","<1","Carrera_Pinto",-27.1,-69.883,"adult","uncertain",10,20,"individual","CTmin",1.63143254520166,1.23504867872044,"CI",0.278164117,0.23643949930458,22,22,24.7,4,15.3,20.7,"lower",-0.039638386648122
"24","Barria_et_al_2017","Pleurodema_thaul","Chordata","frog",2,"terrestrial","uncertain","<1","El_Caulle",-40.65,-72.167,"adult","uncertain",10,20,"individual","Ctmin",-2.40890125173852,-2.13769123783031,"CI",0.47287899860918,0.45897079276773,10,10,21.4,1.975,10.3,19.425,"lower",0.027121001390821
"25","Bible_et_al_2020","Ostrea lurida","Mollusca","oyster",6,"ocean","NA","1","Nick's Cove,",38.2,122.92,"adult","uncertain",14,34,"replicate","LD50_high",38.3849056603773,38.988679245283,"std_err",0.0905660377359041,0.0867924528301955,4,4,26.389088,3.500939,14.151014,22.888149,"upper",0.0301886792452851
"26","Bible_et_al_2020","Ostrea lurida","Mollusca","oyster",6,"ocean","NA","1","Marshall",38.15,122.886666666667,"adult","uncertain",14,34,"replicate","LD50_high",38.3358490566037,38.8905660377358,"std_err",0.0113207547169978,0.033962264150901,4,4,26.399994,3.609994,14.186357,22.79,"upper",0.0277358490566051
"27","Bible_et_al_2020","Ostrea lurida","Mollusca","oyster",6,"ocean","NA","1","Loch Lomond",37.97,122.475,"adult","uncertain",14,34,"replicate","LD50_high",38.0754716981132,38.966037735849,"std_err",0.0150943396225998,0.0792452830188992,4,4,26.045914,2.665787,14.039306,23.380127,"upper",0.0445283018867901
"28","Bible_et_al_2020","Ostrea lurida","Mollusca","oyster",6,"ocean","NA","1","Berkeley",37.86306,122.3122,"adult","uncertain",14,34,"replicate","LD50_high",38.2377358490566,38.8830188679245,"std_err",0.098113207547101,0.0792452830188992,4,4,25.952019,2.233493,13.955112,23.718526,"upper",0.032264150943395
"29","Bible_et_al_2020","Ostrea lurida","Mollusca","oyster",6,"ocean","NA","1","Oyster Point",37.66111,122.3772,"adult","uncertain",14,34,"replicate","LD50_high",38.154716981132,38.9358490566037,"std_err",0.143396226415099,0.105660377358497,4,4,25.759993,1.539994,13.820448,24.219999,"upper",0.0390566037735851
"30","Bible_et_al_2020","Ostrea lurida","Mollusca","oyster",6,"ocean","NA","1","Elkhorn Slough",36.84028,121.7436,"adult","uncertain",14,34,"replicate","LD50_high",38.2188679245283,38.8754716981132,"std_err",0.0452830188679059,0.0113207547168983,4,4,26.699804,1.925686,14.841307,24.774118,"upper",0.0328301886792453
"31","Bugg_et_al_2020","Acipenser fulvescens","Vertebrata","sturgeon",2,"freshwater","NA","1","WR",50.3,95.55,"adult","uncertain",16,20,"individual","CTmax",32.41909814,34.64721485,"std_dev",0.286472149,0.339522546,8,8,21.06,-28.24,-2.08,49.3,"upper",0.557029177499999
"32","Bugg_et_al_2020","Acipenser fulvescens","Vertebrata","sturgeon",2,"freshwater","NA","1","BR",56.05,96.905,"adult","uncertain",16,20,"individual","CTmax",32.12201592,34.09549072,"std_dev",0.48,0.392572944,8,8,23.2833333333333,-22.5,0.483333333333333,45.7833333333333,"upper",0.4933687
"33","Bugg_et_al_2020","Acipenser fulvescens","Vertebrata","sturgeon",2,"freshwater","NA","1","WR",50.3,95.55,"adult","uncertain",16,24,"individual","CTmax",32.41909814,35.77188329,"std_dev",0.286472149,0.625994695,8,8,21.06,-28.24,-2.08,49.3,"upper",0.419098143749999
"34","Bugg_et_al_2020","Acipenser fulvescens","Vertebrata","sturgeon",2,"freshwater","NA","1","BR",56.05,96.905,"adult","uncertain",16,24,"individual","CTmax",32.12201592,34.8806366,"std_dev",0.48,0.381962865,8,8,23.2833333333333,-22.5,0.483333333333333,45.7833333333333,"upper",0.344827585
"35","Bugg_et_al_2020","Acipenser fulvescens","Vertebrata","sturgeon",2,"freshwater","NA","1","WR",50.3,95.55,"adult","uncertain",20,24,"individual","CTmax",34.64721485,35.77188329,"std_dev",0.339522546,0.625994695,8,8,21.06,-28.24,-2.08,49.3,"upper",0.28116711
