Pop	ID	treat	CT	S0	S24	W	min/max	device	date
Tor	Tor30	24	34,8	y	y	0,128	max	resist	8/6/16
Tor	Tor37	14	33,6	y	y	0,143	max	resist	10/6/16
Tor	Tor38	14	34,6	y	y	0,156	max	resist	10/6/16
Tor	Tor39	14	34,4	y	y	0,149	max	resist	10/6/16
Tor	Tor40	14	33,4	y	y	0,112	max	resist	10/6/16
Tor	Tor41	14	35	y	y	0,166	max	resist	10/6/16
Tor	Tor42	14	34,4	y	y	0,14	max	resist	10/6/16
Tor	Tor43	24	-0,8	y	y	0,155	min	huber	10/6/16
Tor	Tor44	24	-0,8	y	y	0,133	min	huber	10/6/16
Tor	Tor45	24	-1,1	y	y	0,121	min	huber	10/6/16
Tor	Tor46	24	-1,2	y	y	0,193	min	huber	10/6/16
Tor	Tor47	24	-0,9	y	y	0,16	min	huber	10/6/16
Tor	Tor48	24	-1,4	y	y	0,133	min	huber	10/6/16
Tor	Tor49	24	35,8	y	y	0,181	max	resist	10/6/16
Tor	Tor50	24	35	y	y	0,152	max	resist	10/6/16
Tor	Tor51	24	36	y	y	0,158	max	resist	10/6/16
Tor	Tor52	24	35,2	y	y	0,15	max	resist	10/6/16
Tor	Tor53	24	34,8	y	y	0,143	max	resist	10/6/16
Tor	Tor54	24	35	y	y	0,138	max	resist	10/6/16
Tor	Tor55	14	-1	y	y	0,141	min	huber	10/6/16
Tor	Tor56	14	-2	y	y	0,175	min	huber	10/6/16
Tor	Tor57	14	-1,9	y	y	0,16	min	huber	10/6/16
Tor	Tor58	14	-0,8	y	y	0,131	min	huber	10/6/16
Tor	Tor59	14	-1,4	y	y	0,154	min	huber	10/6/16
Tor	Tor60	14	-2,4	y	y	0,207	min	huber	10/6/16
Huz	Huz1	14	35,2	y	y	0,212	max	resist	8/7/16
Huz	Huz2	14	32,2	y	y	0,135	max	resist	8/7/16
Huz	Huz3	14	31,6	NA	y	0,107	max	resist	8/7/16
Huz	Huz4	14	33	y	y	0,166	max	resist	8/7/16
Huz	Huz5	14	32	NA	n	NA	max	resist	8/7/16
Huz	Huz6	14	33,4	y	y	0,192	max	resist	8/7/16
Huz	Huz7	14	-2,3	y	y	0,176	min	huber	8/7/16
Huz	Huz8	14	-2	y	y	0,124	min	huber	8/7/16
Huz	Huz9	14	-2,6	y	y	0,177	min	huber	8/7/16
Huz	Huz10	14	-2,4	y	y	0,133	min	huber	8/7/16
Huz	Huz11	14	-2	y	y	0,207	min	huber	8/7/16
Huz	Huz12	14	-1,8	y	y	0,135	min	huber	8/7/16
Huz	Huz13	14	32,4	y	y	0,176	max	resist	10/7/16
Huz	Huz14	14	33	y	y	0,157	max	resist	10/7/16
Huz	Huz15	14	32,4	y	y	0,171	max	resist	10/7/16
Huz	Huz16	14	30,5	NA	y	0,138	max	resist	10/7/16
Huz	Huz17	14	33	y	y	0,161	max	resist	10/7/16
Huz	Huz18	14	32	NA	n	NA	max	resist	10/7/16
Huz	Huz19	14	-2,2	y	y	0,102	min	huber	10/7/16
Huz	Huz20	14	-2,4	y	y	0,126	min	huber	10/7/16
Huz	Huz21	14	-1	y	n	NA	min	huber	10/7/16
Huz	Huz22	14	-2	y	y	0,124	min	huber	10/7/16
Huz	Huz23	14	-2	y	y	0,145	min	huber	10/7/16
Huz	Huz24	14	-1,8	y	y	0,125	min	huber	10/7/16
Huz	Huz25	24	31,2	NA	y	0,076	max	resist	12/7/16
Huz	Huz26	24	32,6	y	y	0,106	max	resist	12/7/16
Huz	Huz27	24	35,1	y	y	0,322	max	resist	12/7/16
Huz	Huz28	24	34	y	y	0,14	max	resist	12/7/16
Huz	Huz29	24	35,6	y	y	0,108	max	resist	12/7/16
Huz	Huz30	24	33	NA	y	0,097	max	resist	12/7/16
Huz	Huz31	24	-1,4	y	y	0,253	min	huber	12/7/16
Huz	Huz32	24	0,8	y	y	0,101	min	huber	12/7/16
Huz	Huz33	24	-0,9	y	y	0,104	min	huber	12/7/16
Huz	Huz34	24	-0,8	y	y	0,103	min	huber	12/7/16
Huz	Huz35	24	-0,6	y	y	0,166	min	huber	12/7/16
Huz	Huz36	24	0,8	y	y	0,143	min	huber	12/7/16
Col	Col1	24	33	y	y	0,085	max	resist	12/7/16
Col	Col2	24	33	y	y	0,083	max	resist	12/7/16
Col	Col3	24	32,6	y	y	0,123	max	resist	12/7/16
Col	Col4	24	34,6	y	y	0,137	max	resist	12/7/16
Col	Col5	24	33,4	y	y	0,154	max	resist	12/7/16
Col	Col6	24	32,6	y	y	0,117	max	resist	12/7/16
Col	Col7	24	-0,2	y	y	0,111	min	huber	12/7/16
Col	Col8	24	-0,4	y	y	0,166	min	huber	12/7/16
Col	Col9	24	-0,6	y	y	0,104	min	huber	12/7/16
Col	Col10	24	0,2	y	y	0,137	min	huber	12/7/16
Col	Col11	24	-1,1	y	y	0,139	min	huber	12/7/16
Col	Col12	24	-1	y	y	0,076	min	huber	12/7/16
Col	Col13	14	33,1	y	y	0,096	max	resist	15/7/16
Col	Col14	14	33,6	y	y	0,12	max	resist	15/7/16
Col	Col15	14	33	y	y	0,087	max	resist	15/7/16
Col	Col16	14	33,4	y	y	0,116	max	resist	15/7/16
Col	Col17	14	32,2	y	y	0,134	max	resist	15/7/16
Col	Col18	14	31,8	y	y	0,1	max	resist	15/7/16
Col	Col19	14	-1,1	y	y	0,083	min	huber	15/7/16
Col	Col20	14	-2,4	y	y	0,151	min	huber	15/7/16
Col	Col21	14	-1,7	y	y	0,125	min	huber	15/7/16
Col	Col22	14	-1,7	y	y	0,132	min	huber	15/7/16
Col	Col23	14	-2,6	y	y	0,082	min	huber	15/7/16
Col	Col24	14	-2,6	y	y	0,103	min	huber	15/7/16
Col	Col25	24	33	y	y	0,1	max	resist	15/7/16
Col	Col26	24	33,2	y	y	0,112	max	resist	15/7/16
Col	Col27	24	35,2	y	y	0,155	max	resist	15/7/16
Col	Col28	24	34	y	y	0,073	max	resist	15/7/16
Col	Col29	24	32	y	y	0,116	max	resist	15/7/16
Col	Col30	24	32	y	y	0,162	max	resist	15/7/16
Col	Col31	24	-1,2	y	y	0,178	min	huber	15/7/16
Col	Col32	24	-1,2	y	y	0,132	min	huber	15/7/16
Col	Col33	24	-1	y	y	0,121	min	huber	15/7/16
Col	Col34	24	-0,8	y	y	0,092	min	huber	15/7/16
Col	Col35	24	-0,4	y	y	0,113	min	huber	15/7/16
Col	Col36	24	-0,9	y	y	0,158	min	huber	15/7/16
Col	Col37	24	32	y	y	0,089	max	resist	15/7/16
Col	Col38	24	32,4	y	y	0,154	max	resist	15/7/16
Tor	Tor61	24	33,2	y	y	0,156	max	resist	15/7/16
Tor	Tor62	24	35,7	y	y	0,228	max	resist	15/7/16
Tor	Tor63	24	36	y	y	0,172	max	resist	15/7/16
Tor	Tor64	24	34,8	y	y	0,176	max	resist	15/7/16
Col	Col39	24	-0,2	y	y	0,129	min	huber	15/7/16
Col	Col40	24	-1,2	y	y	0,09	min	huber	15/7/16
Tor	Tor65	24	-0,2	y	y	0,177	min	huber	15/7/16
Tor	Tor66	24	-0,8	y	y	0,174	min	huber	15/7/16
Tor	Tor67	24	-1,4	y	y	0,2	min	huber	15/7/16
Tor	Tor68	24	-1,8	y	y	0,21	min	huber	15/7/16
Col	Col41	14	32	y	y	0,104	max	resist	18/7/16
Col	Col42	14	34,4	y	y	0,263	max	resist	18/7/16
Col	Col43	14	31,9	y	y	0,131	max	resist	18/7/16
Col	Col44	14	30,6	y	y	0,102	max	resist	18/7/16
Col	Col45	14	32,9	y	y	0,086	max	resist	18/7/16
Col	Col46	14	33,4	y	y	0,122	max	resist	18/7/16
Tor	Tor69	24	1,8	y	n	NA	min	huber	18/7/16
Tor	Tor70	24	-0,7	y	y	0,159	min	huber	18/7/16
Tor	Tor71	24	4,6	NA	n	NA	min	huber	18/7/16
Tor	Tor72	24	-0,2	y	y	0,16	min	huber	18/7/16
Tor	Tor73	24	0,8	y	y	0,217	min	huber	18/7/16
Tor	Tor74	24	-1,4	y	y	0,169	min	huber	18/7/16
Tor	Tor75	14	34,2	y	y	0,19	max	resist	19/7/16
Tor	Tor76	14	33,9	y	y	0,178	max	resist	19/7/16
Tor	Tor77	14	34,8	y	y	0,2	max	resist	19/7/16
Tor	Tor78	14	34	y	y	0,188	max	resist	19/7/16
Tor	Tor79	14	32	y	y	0,191	max	resist	19/7/16
Tor	Tor80	14	31	y	y	0,145	max	resist	19/7/16
Col	Col47	14	-2	y	y	0,164	min	huber	19/7/16
Col	Col48	14	-1,4	y	y	0,176	min	huber	19/7/16
Col	Col49	14	-2,2	y	y	0,133	min	huber	19/7/16
Col	Col50	14	-1,8	y	y	0,089	min	huber	19/7/16
Col	Col51	14	-2	y	y	0,088	min	huber	19/7/16
Col	Col52	14	-1,9	y	y	0,107	min	huber	19/7/16
Col	Col53	24	32	y	y	0,212	max	resist	19/7/16
Col	Col54	24	33,2	y	y	0,224	max	resist	19/7/16
Col	Col55	24	30	y	y	0,145	max	resist	19/7/16
Tor	Tor81	14	32,8	y	y	0,172	max	resist	19/7/16
Tor	Tor82	14	31,8	y	y	0,178	max	resist	19/7/16
Tor	Tor83	14	31,2	y	y	0,218	max	resist	19/7/16
Col	Col56	24	0	y	y	0,204	min	huber	19/7/16
Col	Col57	24	-1	y	y	0,172	min	huber	19/7/16
Tor	Tor84	14	-2,4	y	y	0,197	min	huber	19/7/16
Tor	Tor85	14	-2,6	y	y	0,204	min	huber	19/7/16
Tor	Tor86	14	-2,4	y	y	0,185	min	huber	19/7/16
Tor	Tor87	14	-2,4	y	y	0,165	min	huber	19/7/16
Huz	Huz37	24	35	y	y	0,411	max	resist	28/7/16
Huz	Huz38	24	32,4	y	y	0,336	max	resist	28/7/16
Huz	Huz39	24	35	y	y	0,471	max	resist	28/7/16
Huz	Huz40	24	35,3	y	y	0,394	max	resist	28/7/16
Huz	Huz41	24	34,8	y	y	0,367	max	resist	28/7/16
Huz	Huz42	24	34,2	y	y	0,402	max	resist	28/7/16
Huz	Huz43	24	-0,8	y	y	0,280	min	huber	28/7/16
Huz	Huz44	24	-0,8	y	y	0,514	min	huber	28/7/16
Huz	Huz45	24	-1	y	y	0,380	min	huber	28/7/16
Huz	Huz46	24	-1	y	y	0,346	min	huber	28/7/16
Huz	Huz47	24	-1,1	y	y	0,318	min	huber	28/7/16
Huz	Huz48	24	-1,4	y	y	0,375	min	huber	28/7/16
Huz	Huz49	14	34,1	y	y	0,396	max	resist	28/7/16
Huz	Huz50	14	33,9	y	y	0,420	max	resist	28/7/16
Huz	Huz51	14	33,3	y	y	0,525	max	resist	28/7/16
Huz	Huz52	14	30,4	y	y	0,187	max	resist	28/7/16
Huz	Huz53	24	35,6	y	y	0,608	max	resist	28/7/16
Huz	Huz54	24	33	y	y	0,341	max	resist	28/7/16
Huz	Huz55	14	-1	y	y	0,375	min	huber	28/7/16
Huz	Huz56	14	-1,6	y	y	0,279	min	huber	28/7/16
Huz	Huz57	14	-2	y	y	0,350	min	huber	28/7/16
Huz	Huz58	14	-1,6	y	y	0,361	min	huber	28/7/16
Huz	Huz59	14	-1	y	y	0,380	min	huber	28/7/16
Huz	Huz60	24	-1	y	y	0,432	min	huber	28/7/16
Col	Col58	24	33,4	y	y	0,120	max	resist	2/8/16
Col	Col59	24	34,1	y	y	0,139	max	resist	2/8/16
Col	Col60	24	35,6	y	y	0,101	max	resist	2/8/16
Col	Col61	24	33,2	y	y	0,110	max	resist	2/8/16
Col	Col62	24	34	y	y	0,085	max	resist	2/8/16
Col	Col63	24	33,2	y	y	0,128	max	resist	2/8/16
Col	Col64	24	-1,4	y	y	0,143	min	huber	2/8/16
Col	Col65	24	-1,2	y	y	0,116	min	huber	2/8/16
Col	Col66	24	-0,4	y	y	0,147	min	huber	2/8/16
Col	Col67	24	0	y	y	0,078	min	huber	2/8/16
Col	Col68	24	-0,6	y	y	0,127	min	huber	2/8/16
Col	Col69	14	34	y	y	0,190	max	resist	3/8/16
Col	Col70	14	33,4	y	y	0,148	max	resist	3/8/16
Col	Col71	14	32,4	y	y	0,180	max	resist	3/8/16
Col	Col72	14	31,6	y	y	0,114	max	resist	3/8/16
Col	Col73	14	31,8	y	y	0,137	max	resist	3/8/16
Col	Col74	14	29,6	y	y	0,124	max	resist	3/8/16
Col	Col75	14	-1	y	y	0,106	min	huber	3/8/16
Col	Col76	14	-2	y	y	0,120	min	huber	3/8/16
Col	Col77	14	-2,5	y	y	0,120	min	huber	3/8/16
Col	Col78	14	-1,9	y	y	0,104	min	huber	3/8/16
Col	Col79	14	-2,6	y	y	0,097	min	huber	3/8/16
Col	Col80	14	-2,6	y	y	0,103	min	huber	3/8/16
Huz	Huz61	14	34	y	y	0,472	max	resist	5/8/16
Huz	Huz62	14	33,4	y	y	0,402	max	resist	5/8/16
Huz	Huz63	14	35	y	y	0,361	max	resist	5/8/16
Huz	Huz64	14	33,4	y	y	0,384	max	resist	5/8/16
Huz	Huz65	14	31,4	y	y	0,892	max	resist	5/8/16
Huz	Huz66	14	34,1	y	y	0,434	max	resist	5/8/16
Huz	Huz67	14	-2	y	y	0,611	min	huber	5/8/16
Huz	Huz68	14	-2	y	y	0,443	min	huber	5/8/16
Huz	Huz69	14	-1,4	y	y	0,361	min	huber	5/8/16
Huz	Huz70	14	-2	y	y	0,410	min	huber	5/8/16
Huz	Huz71	14	-1,6	y	y	0,480	min	huber	5/8/16
Huz	Huz72	14	-1,9	y	y	0,390	min	huber	5/8/16
