Pop	ID	treat	CT	S0	S24	W	min/max	device	date
Can	Can103	24	35,2	y	y	0,226	max	resist	10/8/15
Can	Can104	24	36,2	y	y	0,182	max	resist	10/8/15
Can	Can105	24	35,2	y	y	0,188	max	resist	10/8/15
Can	Can106	24	35,2	y	y	0,17	max	resist	10/8/15
Can	Can107	24	35,4	y	y	0,199	max	resist	10/8/15
Can	Can108	24	-0,6	y	y	0,171	min	huber	10/8/15
Can	Can109	24	-0,4	y	y	0,26	min	huber	10/8/15
Can	Can110	24	-1,8	y	y	0,252	min	huber	10/8/15
Can	Can111	24	-1	y	y	0,232	min	huber	10/8/15
Can	Can112	24	-0,2	y	y	0,176	min	huber	10/8/15
Can	Can113	24	-1,4	y	y	0,176	min	huber	10/8/15
Can	Can114	24	-1,8	y	y	0,207	min	huber	10/8/15
Sen	Se–1	24	34,80	y	n	NA	max	resist	11/8/15
Sen	Se–2	24	35	y	y	0,321	max	resist	11/8/15
Sen	Se–3	24	35,8	y	y	0,22	max	resist	11/8/15
Sen	Se–4	24	35,4	y	y	0,31	max	resist	11/8/15
Sen	Se–5	24	36,2	y	y	0,321	max	resist	11/8/15
Sen	Se–6	24	35,6	y	y	0,27	max	resist	11/8/15
Sen	Se–7	24	NA	NA	NA	NA	min	huber	11/8/15
Sen	Se–8	24	-1	y	y	0,422	min	huber	11/8/15
Sen	Se–9	24	NA	NA	NA	NA	min	huber	11/8/15
Sen	Se–10	24	-1,2	y	y	0,2	min	huber	11/8/15
Sen	Se–11	24	NA	NA	NA	0,329	min	huber	11/8/15
Sen	Se–12	24	-1	y	y	0,32	min	huber	11/8/15
Sen	Se–13	14	34,8	y	y	0,265	max	resist	11/8/15
Sen	Se–14	14	35,2	y	y	0,392	max	resist	11/8/15
Sen	Se–15	14	34	?	n	NA	max	resist	11/8/15
Sen	Se–16	14	34,8	y	n	NA	max	resist	11/8/15
Sen	Se–17	14	35,6	y	n	NA	max	resist	11/8/15
Sen	Se–18	14	35,2	y	y	0,244	max	resist	11/8/15
Sen	Se–19	14	-1,2	y	y	0,3	min	huber	11/8/15
Sen	Se–20	14	-1,2	y	y	0,328	min	huber	11/8/15
Sen	Se–21	14	-0,8	y	y	0,237	min	huber	11/8/15
Sen	Se–22	14	-0,4	y	y	0,209	min	huber	11/8/15
Sen	Se–23	14	-1,2	y	y	0,258	min	huber	11/8/15
Sen	Se–24	14	-1,2	y	y	0,439	min	huber	11/8/15
Sen	Se–25	24	35	y	y	0,245	max	resist	11/8/15
Sen	Se–26	24	34,6	y	y	0,227	max	resist	11/8/15
Sen	Se–27	24	35,4	y	y	0,368	max	resist	11/8/15
Sen	Se–28	14	35,6	y	n	NA	max	resist	11/8/15
Sen	Se–29	14	35,8	y	y	0,338	max	resist	11/8/15
Sen	Se–30	14	34,4	y	y	0,145	max	resist	11/8/15
