"","study","ecosystem","population","latitude","longitude","acc_temp_1","acc_temp_2","limit_1","limit_2","ARR","limit_type","upper_lower","sex","mean_temp","temp_range","acc_time","taxon","phylum","common_name","model_arr","lat_slope","range_slope","lim_slope"
"24","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,27,29,8,6.75,-0.625,"CTmin","lower","female",12.3766666666667,33.6775,2,103,2,3,0.0249999999499998,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"25","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,23,46.71428571,47.04807692,0.166895605000001,"CTmax","upper","uncertain",12.3766666666667,33.6775,2,103,2,3,0.0914989085000015,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"26","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,25,46.71428571,47.42105263,0.17669173,"CTmax","upper","uncertain",12.3766666666667,33.6775,2,103,2,3,0.0914989085000015,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"27","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,27,46.71428571,47.15662651,0.0737234666666673,"CTmax","upper","uncertain",12.3766666666667,33.6775,2,103,2,3,0.0914989085000015,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"28","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,29,46.71428571,47.575,0.107589286250001,"CTmax","upper","uncertain",12.3766666666667,33.6775,2,103,2,3,0.0914989085000015,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"29","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,23,25,47.04807692,47.42105263,0.186487854999999,"CTmax","upper","uncertain",12.3766666666667,33.6775,2,103,2,3,0.0914989085000015,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"30","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,23,27,47.04807692,47.15662651,0.0271373975000007,"CTmax","upper","uncertain",12.3766666666667,33.6775,2,103,2,3,0.0914989085000015,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"31","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,23,29,47.04807692,47.575,0.0878205133333338,"CTmax","upper","uncertain",12.3766666666667,33.6775,2,103,2,3,0.0914989085000015,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"32","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,25,27,47.42105263,47.15662651,-0.132213059999998,"CTmax","upper","uncertain",12.3766666666667,33.6775,2,103,2,3,0.0914989085000015,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"33","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,25,29,47.42105263,47.575,0.0384868425000011,"CTmax","upper","uncertain",12.3766666666667,33.6775,2,103,2,3,0.0914989085000015,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"34","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,27,29,47.15662651,47.575,0.209186745,"CTmax","upper","uncertain",12.3766666666667,33.6775,2,103,2,3,0.0914989085000015,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"35","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,23,5.821052632,5.529411765,-0.1458204335,"CTmin","lower","uncertain",12.3766666666667,33.6775,2,103,2,3,0.00146932925000014,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"36","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,25,5.821052632,5.597402597,-0.0559125087499999,"CTmin","lower","uncertain",12.3766666666667,33.6775,2,103,2,3,0.00146932925000014,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"37","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,27,5.821052632,5.975903614,0.025808497,"CTmin","lower","uncertain",12.3766666666667,33.6775,2,103,2,3,0.00146932925000014,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"38","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,29,5.821052632,5.6125,-0.026069079,"CTmin","lower","uncertain",12.3766666666667,33.6775,2,103,2,3,0.00146932925000014,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"39","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,23,25,5.529411765,5.597402597,0.0339954160000002,"CTmin","lower","uncertain",12.3766666666667,33.6775,2,103,2,3,0.00146932925000014,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"40","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,23,27,5.529411765,5.975903614,0.11162296225,"CTmin","lower","uncertain",12.3766666666667,33.6775,2,103,2,3,0.00146932925000014,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"41","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,23,29,5.529411765,5.6125,0.0138480391666667,"CTmin","lower","uncertain",12.3766666666667,33.6775,2,103,2,3,0.00146932925000014,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"42","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,25,27,5.597402597,5.975903614,0.1892505085,"CTmin","lower","uncertain",12.3766666666667,33.6775,2,103,2,3,0.00146932925000014,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"43","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,25,29,5.597402597,5.6125,0.00377435074999988,"CTmin","lower","uncertain",12.3766666666667,33.6775,2,103,2,3,0.00146932925000014,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"44","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,27,29,5.975903614,5.6125,-0.181701807,"CTmin","lower","uncertain",12.3766666666667,33.6775,2,103,2,3,0.00146932925000014,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"45","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,23,46.8,47.8,0.5,"CTmax","upper","female",12.5448611108333,33.64875,2,103,2,3,0.025000000000002,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"46","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,25,46.8,47.42857143,0.1571428575,"CTmax","upper","female",12.5448611108333,33.64875,2,103,2,3,0.025000000000002,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"47","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,27,46.8,47.4,0.1,"CTmax","upper","female",12.5448611108333,33.64875,2,103,2,3,0.025000000000002,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"48","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,29,46.8,47.25,0.0562500000000004,"CTmax","upper","female",12.5448611108333,33.64875,2,103,2,3,0.025000000000002,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"49","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,25,47.8,47.42857143,-0.185714285,"CTmax","upper","female",12.5448611108333,33.64875,2,103,2,3,0.025000000000002,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"50","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,27,47.8,47.4,-0.0999999999999996,"CTmax","upper","female",12.5448611108333,33.64875,2,103,2,3,0.025000000000002,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"51","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,29,47.8,47.25,-0.0916666666666662,"CTmax","upper","female",12.5448611108333,33.64875,2,103,2,3,0.025000000000002,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"52","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,25,27,47.42857143,47.4,-0.0142857149999998,"CTmax","upper","female",12.5448611108333,33.64875,2,103,2,3,0.025000000000002,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"53","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,25,29,47.42857143,47.25,-0.0446428574999995,"CTmax","upper","female",12.5448611108333,33.64875,2,103,2,3,0.025000000000002,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"54","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,27,29,47.4,47.25,-0.0749999999999993,"CTmax","upper","female",12.5448611108333,33.64875,2,103,2,3,0.025000000000002,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"55","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,23,5.6,9,1.7,"CTmin","lower","female",12.5448611108333,33.64875,2,103,2,3,-0.1242857143,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"56","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,25,5.6,6,0.1,"CTmin","lower","female",12.5448611108333,33.64875,2,103,2,3,-0.1242857143,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"57","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,27,5.6,5.714285714,0.019047619,"CTmin","lower","female",12.5448611108333,33.64875,2,103,2,3,-0.1242857143,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"58","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,29,5.6,6,0.05,"CTmin","lower","female",12.5448611108333,33.64875,2,103,2,3,-0.1242857143,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"59","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,25,9,6,-1.5,"CTmin","lower","female",12.5448611108333,33.64875,2,103,2,3,-0.1242857143,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"60","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,27,9,5.714285714,-0.8214285715,"CTmin","lower","female",12.5448611108333,33.64875,2,103,2,3,-0.1242857143,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"61","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,23,29,9,6,-0.5,"CTmin","lower","female",12.5448611108333,33.64875,2,103,2,3,-0.1242857143,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"62","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,25,27,6,5.714285714,-0.142857143,"CTmin","lower","female",12.5448611108333,33.64875,2,103,2,3,-0.1242857143,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"63","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,25,29,6,6,0,"CTmin","lower","female",12.5448611108333,33.64875,2,103,2,3,-0.1242857143,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"64","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,27,29,5.714285714,6,0.142857143,"CTmin","lower","female",12.5448611108333,33.64875,2,103,2,3,-0.1242857143,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"65","Diamond_et_al_2018","terrestrial","Cin_urban",39.1414659194118,-84.5232195,21,23,46.78481013,46.76470588,-0.0100521249999979,"CTmax","upper","uncertain",12.5448611108333,33.64875,2,103,2,3,0.0833494819999986,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
